Nama Produk,Harga Produk,Penjual,Kota Toko,Banyaknya Terjual,Rating Produk
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,,,250.0,
Snack Benteur Crispy Cemilan Ikan,Rp26.500,Gerai Singawada,Kab. Majalengka,30.0,4.7
Kerupuk Rambak Sapi Seven Snack,Rp15.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1.0,4.9
Emping Manis Pedas Majalengka,Rp18.000,Gerai Singawada,Kab. Majalengka,21.0,5.0
Snack Mie Goreng Medan / Kerupuk Mie Goreng Medan,Rp14.500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,500.0,4.8
Cemilan Stik Kentang Aghnia Potato Snack,Rp18.500,Gerai Singawada,Kab. Majalengka,1.0,5.0
kerupuk seblak bantat kriwil syahrini 250gr oleh oleh bandung,Rp19.000,SIMANALAGI-KOSAMBI-BANDUNG,Bandung,100.0,4.9
SEBLAK KERUPUK KEMPLANG,Rp6.000,ngenyooh_snack,Kab. Garut,7.0,5.0
"Kerupuk Gelung Mentah 200gr Bahan Seblak, Krupuk, Cemilan, Dll.",Rp5.000,Cuanki_Bandung,Kab. Bandung,100.0,4.9
seblak kerupuk bantet kering 75 gram,Rp5.000,RIKI STORE 97,Kab. Bogor,90.0,
SEBLAK INSTAN | BASO ACI | CUANKIE KUAH INSTAN,Rp2.939,Kairashop_id,Surabaya,70.0,4.2
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,Rp13.250,,,100.0,
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk,Rp24.500,,,100.0,
baso aci paket 12 pcs murah / BASO ACI PAKET 12 PCS MURAH,Rp33.000,ismileusa_id,Kab. Bandung,2.0,4.6
Baso Aci Instan Culametan khas Garut,Rp5.500,CUANKI CULAMETAN,Kab. Garut,4.0,4.9
Baso Aci Murah Bandung / Bakso aci hot jeletot,Rp2.700,ismileusa_id,Kab. Bandung,8.0,4.6
boci baso aci mantap jiwa bakso khas garut,Rp18.000,Alvaro Frozen Food,Jakarta Barat,,
bakso cuanki bandung,Rp30.450,UMMU GENDIS FOOD,Depok,750.0,4.9
kerupuk seblak pedas daun jeruk netto 100grm,Rp5.300,ADDARSNACK,Kab. Cianjur,50.0,5.0
KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,Rp14.000,ajs(ale jaya snack),Jakarta Utara,100.0,5.0
Krupuk seblak kencur 500gram,Rp12.000,Ummuchasna,Kab. Magelang,60.0,
500GR SEBLAK BETON RENYAH VIRAL Cemilan Pedas,Rp23.000,Cemilanku Kaya Bumbu,Kab.Ciamis,30.0,5.0
SEBLAK INSTAN MOMMY,Rp13.900,Rav Jaya Display,Kab. Tangerang,1.0,4.8
Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,Rp14.000,,,100.0,
Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,Rp16.000,,,90.0,
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Combo 4pcs 65 gr,Rp43.500,Lidigeli,Kab. Garut,21.0,5.0
KERUPUK PEDAS SEBLAK 250 GR,Rp21.013,TOKO KUE MEISYA 2,Jakarta Pusat,60.0,4.9
Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr - 250 gr,Rp13.000,Bintang Snack & Camilan,Semarang,30.0,5.0
Kerupuk Seblak Rempah Cikur,Rp15.000,Kerupuk Rempah,Bandung,1.0,
CAP IBU Bumbu Seblak Bandung - Bumbu Masak Instan Premium,Rp38.000,Cap Ibu Official Store,Jakarta Timur,60.0,5.0
Kerupuk Seblak Pedas Original,Rp6.000,V3 OnSHop,Surabaya,40.0,4.5
"Kerupuk mawar mentah 250gr/500gr/1kg, cocok untuk seblak dan camilan.",Rp17.000,Kerupuk Enak 01,Kab. Tangerang,5.0,5.0
Kerupuk Seblak Beton Pedas Gurih 1 kg,Rp75.000,YasnackID,Bandung,15.0,5.0
"PAKET MIX 50 TOPING BASO ACI, SEBLAK, DLL",Rp39.600,ArfaOnlineShop,Tangerang,7.0,
Gelichips Seblak Kering Gurih isi 260gram - Combo Seblak Kering 4pcs,Rp43.500,Lidigeli,Kab. Garut,50.0,5.0
Cuanki Kriboow Goreng Selera Martini - Cuanki Instan,Rp14.500,,,70.0,4.9
